# Rebase commit map for the wave closed by change 0651
#
# The branch feat/office-format-completeness was rebased onto
# origin/feat/office-format-completeness (6 upstream commits, merge base
# a9d0ded5ac483a7fb9e6899279bce732e851652e) after change 0651 was committed.
# Every change record of this programme cites commit hashes as they were
# before the rebase. This file maps each of the 144 rebased commits, oldest
# first: pre-rebase hash, post-rebase hash, subject. Subjects and patch order
# are unchanged; only the hashes moved.
#
# pre-rebase  post-rebase  subject
aeb9e229ae71  20a43e1163f0  docs(perf): reconcile current evidence and regression priorities
df2e73fa3b26  1958617c995d  perf(odg): reuse direct transition values during page resolution
56e396d05c46  d8e0f41e7b51  perf(odg): filter attribute names before namespace resolution
4c6c63718542  455972786b52  perf(odg): batch checked shape attribute span discovery
40a44b44e1d5  627f41bea182  perf(odg): batch contiguous attribute value requests
0455d9abe479  a9e2d85dc610  perf: add semantic text export to default baseline
869bbc3ed470  b1aaf13acdda  perf: reuse bounded ODT sink paragraph buffers
b0b9ebb577d6  f0a9869bae68  perf: fast-path ODT decoded length before OLE2 and OOXML focus
18d4d7fe1452  3e44fcf7caa7  perf: decode CFB FAT sectors within exact reservation
53a7c4a523e8  1e8b939f0e07  perf: isolate current dense XLSX commit attribution
33a21e0f087b  7b63df30d369  perf: measure XLSX operation allocations and save scope
b69873236325  8d73d20f4d74  perf: reject speculative XLSX parser layout fusion
c5abaef129f5  72a63c7a7526  perf: isolate XLSX output validation and compaction costs
201f65094ff0  a241029f257c  test: repair XLSX no-op budgets and archive fusion evaluation
afb62ab7a708  202ed8b16b9f  perf(opc): avoid duplicate source XML publication validation
45d71cb6f0cd  61aa2fbc26b6  perf(docx): reuse validated source snapshots during publication
b776ccb2a55c  53db9a47a0d0  perf(opc): reuse immutable XML proofs at publication
672b8468ac56  27585c9b4cbb  perf(xlsx): attribute source-backed cell edit and save costs
96fe51a3a70d  ea4c89c31d0c  perf(xlsx): borrow XML validation events and namespaces
0e6379307c51  8805d1f434a1  test(xlsx): add cell reference guards and record scanner evaluation
477281a2f83c  e9aa98873f3b  perf(cfb): add open allocation metrics and refresh OLE2 attribution
